Last Name,First Name,ORCID
Campbell,Nicole,NO
Campbell,M. Karen,0000-0001-7376-5301
Campbell,Gordon,NO
Campbell,Heather ,0000-0002-1272-5872
Campbell-Brown,Margaret Diane,0000-0001-6010-1784
Canlas,Gino Ruggiero,0009-0000-9466-9474
Capone,John,NO
Capretz,Luiz Fernando,0000-0001-6966-2369
Capretz,Miriam A,0000-0002-1380-971X
Caracchini,Cristina,0000-0001-6839-0154
Cardarelli Leite,Leandro,0000-0002-5987-7291
Carey,Timothy,NO
Carlisle,Emily,0000-0002-5391-723X
Carmody,Chios,0000-0003-3279-790X
Carson,Jeffrey,NO
Carson,Kim ,0000-0002-0330-2413
Carter,Alexandra,NO
Carter,Kyle,NO
Casas Lopez,Catalina,0000-0003-2959-8547
Cassady,Samuel ,0000-0001-7033-3458
Casserly,Courtney,0000-0002-8357-2834
Cassidy,Caitlin,NO
Castellani,Christina,0000-0003-2737-0549
Castro Mendez,Lucas,NO
Cato,Jacqueline ,0009-0000-8011-8217
Caucutt,Elizabeth,0009-0002-4967-5706
Cave,Anita,0000-0002-5552-3795
Caxaj,Susana,0000-0002-5393-6406
Cayen,Laura,0000-0003-2861-9799
Cecchini,Matthew,0000-0001-7224-5216
Cechetto,David F.,NO
Cejic,Sinisa (Sonny),NO
Centivany,Alissa,0000-0002-5394-9047
Cepinskas,Gediminas,0000-0002-0267-6659
Chahine-Malus,Natalie,NO
Chakrabarti,Subrata,0000-0002-0208-1401
Chamberlain,Erika,0000-0002-1446-3300
Chambers,Spencer,0000-0003-1599-7184
Champion,Lois,NO
Chan,Ryan,0000-0002-3164-5640
Chan,Lik Hang Tommy,0000-0003-0252-7757
Chan,Nelson,NO
Chan,Cynthia,NO
Chan,Ian,0000-0002-2079-3066
Chan,Nancy,NO
Chandna,Nicholas,NO
Chandy,Mark,0000-0002-6741-2822
Chang,Yuqian,0000-0001-7146-6519
Charpentier,Paul A,0000-0001-9506-5576
Charumbira,Ruramisai,0009-0003-6252-5945
Chaudhari,Sumit,NO
Chavarria,Jesus,0000-0001-5864-2899
Chen,Elvis,0000-0002-4198-3336
Chen,Yang,0000-0001-8535-7815
Chen,Breanna,0000-0003-2524-2412
Chen,Jeff,NO
Cheng,Anita,0000-0002-6787-7275
Cheng,Sonny,NO
Cherry,Richard,0000-0002-1212-2641
Cheskes,Lindsay,NO
Chiasson,Basil,0000-0001-8519-2897
Chidiac,Peter,0000-0001-8365-6109
Chilton,Stephanie,NO
Chin,Melissa,NO
Chintapalli,Prashant,0000-0002-6788-7537
Chin-Yee,Ian,0000-0002-8719-7250
Chin-Yee,Benjamin,0000-0003-0737-3603
Chitpin,Jeremy,NO
Chiu,Michael,NO
Cho,Lily,0000-0003-2018-9069
Choi,Yun-Hee,0000-0002-5533-509X
Choi,Hee Young (Kate H.),0000-0001-6885-6233
Chong,Jaron,NO
Chou,Queena,NO
Chovaz,Cathy,NO
Chowdhury,Apala,0000-0001-9027-9794
Choy,Wing-Yiu,0000-0002-2124-7278
Christensen,J. Daniel,NO
Christie,Anita,0009-0007-8543-5124
Chronik,Blaine Alexander,0000-0001-6086-9806
Chrysostome,Elie,0000-0002-0573-9969
Chu,Michael,NO
Chui,Sze Wing,NO
Chung,Tai-Yeong,0009-0003-1583-4729
Church,Brian,NO
Ciftci,Beyza,0000-0003-0412-6228
Cigana Schenkel Magalhaes,Laila,0000-0003-4939-6790
Cipriano,Lauren,0000-0001-5568-4516
Clark,Kim,0000-0001-8044-6069
Clark,Daniel,0000-0003-1645-4667
Clarke,Collin,0000-0003-3677-5900
Clarson,Cheril L,0000-0003-0553-6915
Clemens,Kristin,0000-0001-9636-5597
Clemente,Michael,NO
Cleveland,Mark,0000-0001-7605-1996
Climans,Seth,0000-0002-4961-237X
Coates,Norma,0009-0007-1877-8733
